,precision,recall,f1-score,support
0,0.9681908548707754,0.9938775510204082,0.9808660624370594,980.0
1,0.9593564775613886,0.9982378854625551,0.9784110535405872,1135.0
2,0.9821251241310824,0.9583333333333334,0.9700833742030407,1032.0
3,0.9700897308075773,0.9633663366336633,0.9667163437655241,1010.0
4,0.9782157676348547,0.960285132382892,0.9691675231243576,982.0
5,0.9663299663299664,0.9652466367713004,0.96578799775659,892.0
6,0.9782608695652174,0.9864300626304802,0.9823284823284824,958.0
7,0.9565217391304348,0.9630350194552529,0.9597673291323315,1028.0
8,0.9849462365591398,0.9404517453798767,0.9621848739495799,974.0
9,0.9508357915437562,0.958374628344896,0.9545903257650543,1009.0
accuracy,0.9691,0.9691,0.9691,0.9691
macro avg,0.9694872558134193,0.9687638331414657,0.9689903366002607,10000.0
weighted avg,0.969282381875404,0.9691,0.9690521444387153,10000.0
